"sentence","src_label","tgt_label","link_type"
" Yesterday, the International Consortium of Investigative Journalists (ICIJ) and its partners, including the Organized Crime and Corruption Reporting Project (OCCRP), made the Panama Papers and Offshore Leaks database available to the public.","ICIJ","Organized Crime and Corruption Reporting Project","BUSINESS"
" database comes from Panamanian law firm Mossack Fonseca, through which the ICIJ, the Organized Crime and Corruption Reporting Project (OCCRP), and German-newspaper Süddetsche Zeitung, along with more than 100 other media partners, published the Panama Papers project in April 2016, according to the ICIJ’s website.","ICIJ","Organized Crime and Corruption Reporting Project","BUSINESS"
"This project is a first in exposing the owners of internet infrastructure across the region,"" said OCCRP executive director Paul Radu. ""","Paul Radu","OCCRP","MANAGER"
" - Ukraine’s largest telecom company, Ukrtelecom, is controlled by the country’s wealthiest businessman Rinat Akhmetov, once mentioned by police as the leader of an organized crime gang.","Rinat Akhmetov","Ukrtelecom","OWNER"
" - In Armenia, the country’s largest telecom, ArmenTel, is controlled by three Russian businessmen—Mikhail Fridman, German Khan, and Alexey Kuzmichev—via LetterOne Holdings, VimpelCom’s majority shareholder.","Mikhail Fridman","VimpelCom","OWNER"
" - In Armenia, the country’s largest telecom, ArmenTel, is controlled by three Russian businessmen—Mikhail Fridman, German Khan, and Alexey Kuzmichev—via LetterOne Holdings, VimpelCom’s majority shareholder.","Alexey Kuzmichev","Mikhail Fridman","BUSINESS"
"Deploying data mining in cross-border investigative journalism Organized Crime and Corruption Reporting Project (OCCRP) and the International Consortium of Investigative Journalists (ICIJ) have teamed together for astounding cross-border investigations, such as OCCRP’s work on money laundering or ICIJ’s offshore leak projects.","International Consortium of Investigative Journalists","Organized Crime and Corruption Reporting Project","BUSINESS"
"Deploying data mining in cross-border investigative journalism Organized Crime and Corruption Reporting Project (OCCRP) and the International Consortium of Investigative Journalists (ICIJ) have teamed together for astounding cross-border investigations, such as OCCRP’s work on money laundering or ICIJ’s offshore leak projects.","ICIJ","OCCRP","BUSINESS"
"Deploying data mining in cross-border investigative journalism Organized Crime and Corruption Reporting Project (OCCRP) and the International Consortium of Investigative Journalists (ICIJ) have teamed together for astounding cross-border investigations, such as OCCRP’s work on money laundering or ICIJ’s offshore leak projects.","ICIJ","Organized Crime and Corruption Reporting Project","BUSINESS"
"A draft of this post was circulated among OCCRP, the Global Investigative Journalism Network, the ICIJ, Overview, Document Cloud, Global Witness, and Open Corporates, who all agreed that the problem we’ve identified are real and need to be solved.","ICIJ","OCCRP","BUSINESS"
" Alexei Navalny, an anti-corruption campaigner and opposition politician, has published a number of revelations about the lifestyles of President Vladimir Putin's inner circle.","Vladimir Putin","Alexei Navalny","ANTAGONIST"
" BuzzFeed News shared the thousands of SARs that revealed suspicious money transfers made between 1999 and 2017 with the International Consortium of Investigative Journalists (ICIJ), OCCRP, and over 100 other global partners.","International Consortium of Investigative Journalists","OCCRP","BUSINESS"
" The FinCEN files have been the result of the 16-month investigation led by the International Consortium of Investigative Journalists and BuzzFeed News, involving more than 400 journalists in 88 countries, including many from OCCRP and its network of member centers.","International Consortium of Investigative Journalists","OCCRP","BUSINESS"
" The files presented more than 2,100 Suspicious Activity Reports (SARs) written by banks and other financial players and submitted to the U.S. Treasury Department’s Financial Crimes Enforcement Network, known as FinCEN.","U.S. Treasury Department","Financial Crimes Enforcement Network","OTHER"
" The files presented more than 2,100 Suspicious Activity Reports (SARs) written by banks and other financial players and submitted to the U.S. Treasury Department’s Financial Crimes Enforcement Network, known as FinCEN.","U.S. Treasury Department","FinCEN","OTHER"
" Ismayilova’s Story In the past week authorities have been interrogating an Azerbaijani journalist who appears to have become a go-to target for press intimidation: OCCRP partner and Radio Free Europe/Radio Liberty (RFE/RL) correspondent Khadija Ismayilova.","Radio Free Europe/Radio Liberty","OCCRP","BUSINESS"
" Ismayilova’s Story In the past week authorities have been interrogating an Azerbaijani journalist who appears to have become a go-to target for press intimidation: OCCRP partner and Radio Free Europe/Radio Liberty (RFE/RL) correspondent Khadija Ismayilova.","Khadija Ismayilova","OCCRP","EMPLOYEE"
" Ismayilova’s Story In the past week authorities have been interrogating an Azerbaijani journalist who appears to have become a go-to target for press intimidation: OCCRP partner and Radio Free Europe/Radio Liberty (RFE/RL) correspondent Khadija Ismayilova.","Khadija Ismayilova","Radio Free Europe/Radio Liberty","EMPLOYEE"
" Ismayilova is not the only journalist from RFE/RL in Azerbaijan facing pressure for her work.","Ismayilova","RFE/RL","EMPLOYEE"
"Ismayilova has been banned from leaving Baku, the capital of Azerbaijan, without informing the authorities.","Baku","Azerbaijan","WITHIN"
" BuzzFeed News shared the thousands of SARs that revealed suspicious money transfers made between 1999 and 2017 with the International Consortium of Investigative Journalists (ICIJ), OCCRP, and over 100 other global partners.","ICIJ","OCCRP","BUSINESS"
" At the time, Ismayilova was investigating President Ilham Aliyev and his family’s links to a lucrative construction project.","Ilham Aliyev","Ismayilova","ANTAGONIST"
"According to the news and broadcast organization, investigative reporter and Radio Azadliq journalist Yafez Hasanov received death threats and is facing espionage charges for working as a ""foreign agent.""","Yafez Hasanov","Radio Azadliq","EMPLOYEE"
" Drew Sullivan, editor of OCCRP, concurred, saying, “I thought trumped up charges and kangaroo courts went out of style with Stalin.”","Drew Sullivan","OCCRP","MANAGER"
" “ICIJ and Suddeutsche Zeitung deserve profound credit for pulling off this massive project,” OCCRP chief editor Drew Sullivan said. “","ICIJ","Süddeutsche Zeitung","BUSINESS"
" As protestors and government officials struggled to create a new government in Ukraine, armed protestors secured the luxurious guest compound where Russian President Vladimir Putin was once an honored guest.","Vladimir Putin","Ukraine","ANTAGONIST"
" Drew Sullivan, editor of the OCCRP said, ""The Ukrainian reporters who led this effort have done Ukraine and journalism a great service.","Drew Sullivan","OCCRP","MANAGER"
" Much like Delić, OCCRP partner Khadija Ismayilova was questioned in February by prosecutors in Azerbaijan about alleged leaks of state secrets.","Khadija Ismayilova","OCCRP","EMPLOYEE"
"Ismayilova has faced other intimidation, including blackmail attempts, as a result of her investigations of President Ilham Aliyev and his family.","Ilham Aliyev","Ismayilova","ANTAGONIST"
"Last December, many journalists left Ukrainian publications owned by the conglomerate UMH Group after its acquisition by Serhiy Kurchenko, an ally of the country’s erstwhile president Viktor Yanukovych.","Viktor Yanukovych","Serhiy Kurchenko","ASSOCIATE"
" It was then shared by the International Consortium of Investigative Journalists (ICIJ) over secure platforms with over 100 partners worldwide, including the The Organized Crime and Corruption Reporting Network, based in Sarajevo, Bosnia and Herzegovina.","Sarajevo","Bosnia and Herzegovina","WITHIN"
" According to The Huffington Post, more than 10,000 protestors had amassed in Kyiv's main square on Monday expressing their dissatisfaction with Ukrainian president Viktor Yanukovych in what have become known as the EuroMaidan protests.","Viktor Yanukovych","EuroMaidan","ANTAGONIST"
" Assen Yordanov is the Organized Crime and Corruption Reporting Project (OCCRP)’s partner in Bulgaria, and Ismayilova is OCCRP’s regional coordinator in Azerbaijan.","Ismayilova","Organized Crime and Corruption Reporting Project","EMPLOYEE"
"OCCRP Reporter Donates Journalism Prize to Imprisoned Azerbaijani Editor Winners of the fifth Global Shining Light Award, including Organized Crime and Corruption Reporting Project regional coordinator Khadija Ismayilova, have donated their US $1,000 prize money to imprisoned Azerbaijani editor Avaz Zeynalli.","Khadija Ismayilova","Organized Crime and Corruption Reporting Project","EMPLOYEE"
" Recognizing Brave Journalism The Global Shining Light Award, which recognizes investigative reporting done under “threat, duress, or in the direst of conditions” in developing or transitioning countries, was awarded to Ismayilova alongside fellow Radio Free Europe/Radio Liberty correspondent Nushabe Fatullayeva and journalists Pavla Holcova and Jaromir Hason.","Ismayilova","Radio Free Europe/Radio Liberty","EMPLOYEE"
" Some “dusting” has already started in Chisinau as Moldovan law enforcement has seized on Tuesday several properties registered with Finpar Invest Ltd., considered, as OCCRP partner RISE Moldova reported, “a core company of the real estate empire” of Vlad Plahotniuc.","RISE Moldova","OCCRP","ASSOCIATE"
" Over 120 journalists from 37 media outlets that include the New York Times, the Guardian, the BBC, French newspaper Le Monde, and Portuguese newspaper Expresso, collaborated to review the documents disseminated in the leak, which spans between 1980 and 2018.","New York Times","Guardian","BUSINESS"
" Assen Yordanov is the Organized Crime and Corruption Reporting Project (OCCRP)’s partner in Bulgaria, and Ismayilova is OCCRP’s regional coordinator in Azerbaijan.","Ismayilova","OCCRP","EMPLOYEE"
" VimpelCom, majority owned by Mikhail Fridman, one of Russia's wealthiest businessmen, and Telenor, which is majority-owned by the Norwegian government, was accused of paying more US$ 114.5 million to a “relative” of Karimov between 2006 and 2012 for mobile phone licenses and frequencies.","Mikhail Fridman","VimpelCom","OWNER"
" The project team, led by OCCRP executive director Paul Radu and by the founder of online portal Euroactiv.ro Manuela Preoteasa will map the information, and also launch an advocacy program to raise public awareness about ownership.","Paul Radu","OCCRP","MANAGER"
"Azerbaijani Journalist’s Trial Continues The criminal libel trial of OCCRP partner Khadija Ismayilova is ongoing and will continue on Nov. 14.","Khadija Ismayilova","OCCRP","EMPLOYEE"
" Despite concerns over Azerbaijan’s human rights record, COE is hosting a conference in Baku on implementation of the European Convention on Human Rights this weekend, Oct. 25 and 26, according to The New York Times.","Baku","Azerbaijan","WITHIN"
" Organized Crime and Corruption Reporting Project (OCCRP) Executive Director Paul Radu is a member of the 13-person jury who will decide the winners.","Paul Radu","Organized Crime and Corruption Reporting Project","MANAGER"
" The Organized Crime and Corruption Reporting Project (OCCRP) is a joint program of the Center for Investigative Reporting in Sarajevo, the Romanian Center for Investigative Journalism, the Bulgarian Investigative Journalism Center, the Center for Investigative Reporting in Serbia, Novaya Gazeta, the Kyiv Post, HETQ in Armenia, re:baltica, Atlatszo.hu, SCOOP-Macedonia, MANS in Montenegro and a network of investigative journalists and media from Eastern Europe to Central Asia OCCRP’s goal is to help the people of the region better understand how organized crime and corruption affect their lives.","Organized Crime and Corruption Reporting Project","Novaya Gazeta","ASSOCIATE"
"European Commission Approves Billions to Combat Illegal Migration The European Commission has approved € 2.4 billion ($2.6 billion) funding to European Union (EU) member countries as they attempt to manage the impact of the increasing numbers of people migrating from North Africa and the Middle East.","European Commission","European Union","ASSOCIATE"
"European Commission Approves Billions to Combat Illegal Migration The European Commission has approved € 2.4 billion ($2.6 billion) funding to European Union (EU) member countries as they attempt to manage the impact of the increasing numbers of people migrating from North Africa and the Middle East.","European Commission","EU","ASSOCIATE"
" According to multiple reports, the brothers are known business associates of the main architects of the scheme, Ihor Kolomoisky and Gennadiy Boholiubov, the former owners of the Privatbank, who – as revealed in an investigation by OCCRP – managed to embezzle $5.5 billion from its coffers.","Ihor Kolomoisky","PrivatBank","OWNER"
"Leak shows Telecom Negotiated bribes with Dictator’s Daughter New details have emerged regarding TeliaSonera’s alleged dealings with Gulnara Karimova, the daughter of Uzbek dictator Islam Karimov.","TeliaSonera","Gulnara Karimova","BUSINESS"
" “As they have admitted in court filings, VimpelCom, the world’s sixth largest telecommunications company, with securities traded in New York, and its subsidiary, Unitel, built their business in Uzbekistan on over $114 million in bribes funneled to a government official,” said US Attorney Preet Bharara of the Southern District of New York. “","New York","US","WITHIN"
"Interview with Khadija 'It's the revolving door of political prison in Azerbaijan' On her first day of freedom, between CNN’s Christiane Amanpour and the Voice of America, Khadija Ismayilova made time to talk to the Organized Crime and Corruption Reporting Project.","Khadija Ismayilova","Organized Crime and Corruption Reporting Project","EMPLOYEE"
" In March 2015, an OCCRP investigation revealed documents that detailed up to US$ 900 million in payments by VimpelCom, Swedish firm TeliaSonera and Russian giant MTS to businesses controlled by Gulnara Karimova, eldest daughter of Uzbek president Islam Karimov.","TeliaSonera","Gulnara Karimova","BUSINESS"
"German Parliamentarian Implicated in Azerbaijan Laundromat Dies German lawmaker and member of the ruling Christian Democratic Union, Karin Strenz, died on Saturday while traveling privately from Cuba to Germany.","Karin Strenz","Azerbaijan","ASSOCIATE"
"German Parliamentarian Implicated in Azerbaijan Laundromat Dies German lawmaker and member of the ruling Christian Democratic Union, Karin Strenz, died on Saturday while traveling privately from Cuba to Germany.","Karin Strenz","Christian Democratic Union","MEMBER"
"German Parliamentarian Implicated in Azerbaijan Laundromat Dies German lawmaker and member of the ruling Christian Democratic Union, Karin Strenz, died on Saturday while traveling privately from Cuba to Germany.","Karin Strenz","Christian Democratic Union","MEMBER"
" When TeliaSonera made its 2007 licensing purchase, Gulnara Karimova's friend Bekhzod Akhmedov was in charge of the negotiations, according to documents obtained by Swedish prosecutors.","TeliaSonera","Gulnara Karimova","BUSINESS"
"Their diplomatic immunity prevents them from being prosecuted in the United States, where they currently or formerly worked for the Russian Mission to the United Nations, the Russian Federation Consulate, or the New York office of the Trade Representative of the Russian Federation, reports the Wall Street Journal.","New York","United States","WITHIN"
" VimpelCom, owned by Russian businessman Mikhail Fridman, agreed in February to pay US$ 795 million in fines to US and Dutch authorities after admitting to bribing Karimova.","Mikhail Fridman","VimpelCom","OWNER"
" Novaya Gazeta, an OCCRP partner organization in Russia, reported last month that Teyf is closely linked to Yevgeny Prigozhin, “Putin’s chef” and one of 13 Russians indicted last February as part of Robert Mueller’s investigation into Russian interference in the 2016 US elections.","OCCRP","Novaya Gazeta","ASSOCIATE"
"Bulgaria: Bokova Nominated as Candidate for UN Secretary-General The Bulgarian Ministry of Foreign Affairs has nominated Irina Bokova, currently Director-General of the United Nations Educational, Scientific and Cultural Organization (UNESCO), as a candidate for the post of United Nations Secretary-General, according to a news release by the Ministry of Foreign Affairs on Feb. 9.","Irina Bokova","UNESCO","MANAGER"
" Bosnia's state prosecutor's office has investigated allegations against Dodik and his allies of financial embezzlement thought to have cost Bosnian Serb taxpayers 115 million Bosnian marks (US$ 63,117,455), according to the Center for Investigative Journalism in Sarajevo.","Sarajevo","Bosnia","WITHIN"
" Much like Delić, OCCRP partner Khadija Ismayilova was questioned in February by prosecutors in Azerbaijan about alleged leaks of state secrets.","Khadija Ismayilova","OCCRP","EMPLOYEE"
"Ismayilova has faced other intimidation, including blackmail attempts, as a result of her investigations of President Ilham Aliyev and his family.","Ilham Aliyev","Ismayilova","ANTAGONIST"
"Last December, many journalists left Ukrainian publications owned by the conglomerate UMH Group after its acquisition by Serhiy Kurchenko, an ally of the country’s erstwhile president Viktor Yanukovych.","Viktor Yanukovych","Serhiy Kurchenko","ASSOCIATE"
"Europol Helps EU’s Eastern Neighbors Fight Organized Crime A new project that will be led by Europol and financed by the European Commission will help the EU’s eastern neighbours -- Armenia, Azerbaijan, Belarus, Georgia, Moldova and Ukraine -- fight organized crime.","European Commission","EU","ASSOCIATE"
"Just last year, Azerbaijani authorities sentenced OCCRP partner Khadija Ismayilova to 7.5 years in prison on charges that human rights groups say are politically motivated.","Khadija Ismayilova","OCCRP","EMPLOYEE"
"Organized Crime, Corruption Frustrate Balkan EU Hopes Organized crime and corruption are the biggest obstacles facing Western Balkan countries that seek EU membership, the European Commission (EC) said in its latest European Union enlargement strategy report, released Wednesday.","European Commission","EU","ASSOCIATE"
"Organized Crime, Corruption Frustrate Balkan EU Hopes Organized crime and corruption are the biggest obstacles facing Western Balkan countries that seek EU membership, the European Commission (EC) said in its latest European Union enlargement strategy report, released Wednesday.","European Commission","European Union","ASSOCIATE"
" Albania: The European Commission recommended that Albania receive official EU candidate status, conditional upon judicial and public administration reforms.","European Commission","EU","ASSOCIATE"
"Organized Crime, Corruption Frustrate Balkan EU Hopes Organized crime and corruption are the biggest obstacles facing Western Balkan countries that seek EU membership, the European Commission (EC) said in its latest European Union enlargement strategy report, released Wednesday.","EC","EU","ASSOCIATE"
"Organized Crime, Corruption Frustrate Balkan EU Hopes Organized crime and corruption are the biggest obstacles facing Western Balkan countries that seek EU membership, the European Commission (EC) said in its latest European Union enlargement strategy report, released Wednesday.","EC","European Union","ASSOCIATE"
" Finally, the EC reported that inter-ethnic disputes continue to mar the process of reform in many Eastern European countries, undermining their attempts to achieve EU membership and also affecting the stability of the region as a whole.","EC","EU","ASSOCIATE"
" In November 2019, Toktakunov was the leading reporter in a team of over two dozen journalists from RFE/RL, OCCRP, and Kyrgyz member center Kloop, who published a series of reports exposing how an underground syndicate paid massive bribes to Kyrgyzstan’s customs service.","RFE/RL","OCCRP","BUSINESS"
"According to the site Mediapool, the unsigned report was sent to the European Commission to reveal colossal abuse of EU money in SFA in the period 2010 – 2015.","European Commission","EU","ASSOCIATE"
"Putin Calls for Corruption Probe of Utilities, Interfax Reports Prime Minister Vladimir Putin called for Russia’s energy and economy ministries and law enforcement agencies to probe corruption at state-owned utilities, Interfax reported from a government meeting in Siberia.","Vladimir Putin","Russia","MANAGER"
" At the ceremony, which took place on Thursday in Bosnia and Herzegovina’s capital of Sarajevo, ACCOUNT presented awards for the year’s best anti-corruption investigative story, video, and radio piece.","Sarajevo","Bosnia and Herzegovina","WITHIN"
"Bulgaria: UN Candidate Property Wealth Raises Questions The Director General of UNESCO and a Bulgarian candidate for UN Secretary General, Irina Bokova, owns US$ 4.7 million in properties across London, Paris and New York, despite an estimated family income in recent years of only US$ 2.7 million, reported OCCRP partner center Bivol.","Irina Bokova","UNESCO","MANAGER"
"Moldova: New Voter Information Platform Probes Candidates’ Secrets Investigative journalists at Organized Crime and Corruption Reporting Project partner RISE Moldova, launched on Wednesday Prezidentiale 2016, an online source for voters who want to know who the candidates are, what businesses they are involved in, and where their money is coming from.","RISE Moldova","Organized Crime and Corruption Reporting Project","ASSOCIATE"
"OCCRP Nominated for European Press Prize Investigative Reporting Award The Organized Crime and Corruption Reporting Project (OCCRP) is one of six finalists for the 2013 European Press PrizeвАЩs Investigative Reporting Award, which is given to вАЬthe individual or team effort which has done most to unearth facts that the public вАУ and society вАУ has a right to know.вАЭ A team including OCCRP executive director Paul Radu has been recognized for вАЬA MurdererвАЩs Trail HomeвАЭ which was published by the OCCRP in Romania.","Paul Radu","Organized Crime and Corruption Reporting Project","MANAGER"
"OCCRP Nominated for European Press Prize Investigative Reporting Award The Organized Crime and Corruption Reporting Project (OCCRP) is one of six finalists for the 2013 European Press PrizeвАЩs Investigative Reporting Award, which is given to вАЬthe individual or team effort which has done most to unearth facts that the public вАУ and society вАУ has a right to know.вАЭ A team including OCCRP executive director Paul Radu has been recognized for вАЬA MurdererвАЩs Trail HomeвАЭ which was published by the OCCRP in Romania.","Paul Radu","OCCRP","MANAGER"
"Wife of Convicted Russian Pilot Appeals to Putin for Help The wife of Russian pilot Konstantin Yaroshenko, whom the United States sentenced to 20 years in prison for conspiring to smuggle cocaine into the country, has turned to Russian Prime Minister Vladimir Putin to help return her husband to Russia.","Vladimir Putin","Russia","MANAGER"
"We thank them for their support in this area and while there are enormous challenges ahead, we look forward to them"" said Drew Sullivan, Advising Editor to the OCCRP.","Drew Sullivan","OCCRP","MANAGER"
"We will be doubling our efforts in documentary video making and trying to reach new audiences,” said Drew Sullivan, editor of OCCRP.","Drew Sullivan","OCCRP","MANAGER"
"Azerbaijani Government Blocks Journalist from US Commission Hearing Khadija Ismayilova, an investigative journalist and OCCRP partner facing criminal libel charges in Azerbaijan, could not attend a hearing scheduled at the US Capitol to testify on fighting corruption due to a travel ban she claims is illegal.","Khadija Ismayilova","OCCRP","EMPLOYEE"
" Drew Sullivan, editor of OCCRP, likewise condemned media suppression in Ukraine.","Drew Sullivan","OCCRP","MANAGER"
" Anton Stanaj's closest collaborator, however, was his friend Zoran Copic, who was indicted in Serbia and Bosnia and Herzegovina for several crimes including laundering money for fugitive drug boss Darko Saric.","Darko Saric","Zoran Copic","ASSOCIATE"
" While Medvedev has made corruption a plank in his presidential platform, the wide range of his harsh criticisms last week – in both an article on his proposed changes and his talk at Valdai – prompted the Wall Street Journal to think about the relationship between Medvedev and his predecessor/mentor/appointer, Vladimir Putin and what it will mean for Russia.","Vladimir Putin","Russia","MANAGER"
"As prosecutors decide to indict him, a leaked European Commission report shows Babis is being investigated for receiving an EU subsidy worth €17.5 million ($19.9 million) that went directly to one of his businesses the same year he became prime minister.","European Commission","EU","ASSOCIATE"
"Four days before the attack, he appeared on the television show Dateline and accused the Russian government of orchestrating the radiation poisoning death of former KGB operative Alexander Litvinenko.","Alexander Litvinenko","KGB","EMPLOYEE"
" EU Proposes VAT Measures The European Commission last week proposed allowing governments more leeway in how they collect value-added tax (VAT), to cut down on VAT fraud that costs taxpayers billions of dollars every year.","European Commission","EU","ASSOCIATE"
" Lebedev, a former KGB agent like Prime Minister Vladimir Putin, says Putin is open to criticism and these are mainly mid-level bureaucrats who are causing trouble. “","Vladimir Putin","KGB","EMPLOYEE"
"Azerbaijan: Jailed Journalist Khadija Ismayilova's Home Searched New details have emerged about the bizarre case under which investigative journalist Khadija Ismayilova has been imprisoned in Baku, Azerbaijan.","Baku","Azerbaijan","WITHIN"
" In 2006, he is mentioned in a complaint filed at the US District Court of the Southern District of New York.","New York","US","WITHIN"
"The Radio Free Europe/Radio Liberty and OCCRP journalist had uncovered corruption in Azerbaijani government contracts as well as revealing the business links of those in elite political circles, including the daughters of President Ilham Aliyev.","Radio Free Europe/Radio Liberty","OCCRP","BUSINESS"
" Tural Mustafayev, a former reporter for Radio Free Europe/Radio Liberty and Meydan TV in Azerbaijan, claimed to local media on Saturday Dec. 6 that Ismayilova became jealous after a personal relationship between them turned sour in March.","Ismayilova","Radio Free Europe/Radio Liberty","EMPLOYEE"
" When asked by OCCRP what Ismayilova had written about him, he responded that he didn't remember. ""","Ismayilova","OCCRP","EMPLOYEE"
" According to Radio Free Europe/Radio Liberty, there is no clear end in sight for Ismayilova’s incarceration and no trial date has yet been set.","Ismayilova","Radio Free Europe/Radio Liberty","EMPLOYEE"
" Despite being seen as a nationalist, he professes a deep love for Russia and Russian President Vladimir Putin, while Ataka was the only Bulgarian political party to openly support the annexation of Crimea.","Vladimir Putin","Crimea","ANTAGONIST"
" Despite being seen as a nationalist, he professes a deep love for Russia and Russian President Vladimir Putin, while Ataka was the only Bulgarian political party to openly support the annexation of Crimea.","Vladimir Putin","Russia","MANAGER"
" Ismayilova’s award-winning investigative work for OCCRP and Radio Free Europe/Radio Liberty (RFE/RL) exposed the business connections of Azerbaijan's president Ilham Aliyev and his family, and alleged corruption in his inner circle.","Ismayilova","OCCRP","EMPLOYEE"
" Ismayilova’s award-winning investigative work for OCCRP and Radio Free Europe/Radio Liberty (RFE/RL) exposed the business connections of Azerbaijan's president Ilham Aliyev and his family, and alleged corruption in his inner circle.","Ismayilova","Radio Free Europe/Radio Liberty","EMPLOYEE"
"Putin Calls for More Company Data to Combat Corruption President-elect Vladimir Putin, has called for more information from companies within five days to measure and combat corruption in Russia.","Vladimir Putin","Russia","MANAGER"
" http://en.ria.ru/business/20120311/172089820.html President-elect Vladimir Putin, has called for more information from companies within five days to measure and combat corruption in Russia.","Vladimir Putin","Russia","MANAGER"
" Yukos, a Russian oil and gas company, was dismantled by the Russian state following the 2003 arrest of its owner, Mikhail Khodorkovsky, for fraud and tax evasion.","Mikhail Khodorkovsky","Yukos","OWNER"
"Ismayilova to be Honored by Fellowship Offered by OCCRP and RFE/RL The Khadija Ismayilova Investigative Journalism Fellowship, a new seven-month program jointly sponsored by OCCRP and Radio Free Europe/Radio Liberty (RFE/RL), will support reporting projects in Eastern Europe and Central Asia that investigate persons in power and corruption.","Radio Free Europe/Radio Liberty","OCCRP","BUSINESS"
"This signals that the European Commission, which is charged with ensuring that EU law is correctly applied, cannot and will not seek to modify or overrule Malta’s new mandate.","European Commission","EU","ASSOCIATE"
" According to European Commission spokesperson Michele Cercone, member states of the EU “have full sovereignty to decide to whom and how they grant their nationality,"" reports EUobserver.com.","European Commission","EU","ASSOCIATE"
" Ismayilova’s award-winning investigative work for OCCRP and Radio Free Europe/Radio Liberty (RFE/RL) exposed the business connections of Azerbaijan's president Ilham Aliyev and his family, and alleged corruption in his inner circle.","Radio Free Europe/Radio Liberty","OCCRP","BUSINESS"
" Ismayilova’s award-winning investigative work for OCCRP and Radio Free Europe/Radio Liberty (RFE/RL) exposed the business connections of Azerbaijan's president Ilham Aliyev and his family, and alleged corruption in his inner circle.","Ilham Aliyev","Ismayilova","ANTAGONIST"
"Jafarov was arrested last summer after planning a campaign to draw attention to human rights abuses in Azerbaijan in the lead-up to this June’s European Games, which will hosted in the capital, Baku.","Baku","Azerbaijan","WITHIN"
" Ismayilova, an OCCRP partner and RFE/RL talk show host, has reported extensively on corruption involving relatives and cronies of Azerbaijani President Ilham Aliyev.","Ismayilova","OCCRP","EMPLOYEE"
" Ismayilova, an OCCRP partner and RFE/RL talk show host, has reported extensively on corruption involving relatives and cronies of Azerbaijani President Ilham Aliyev.","Ilham Aliyev","Ismayilova","ANTAGONIST"
" ""This is the most important meeting of investigative reporters worldwide and we are always happy to be represented,” said OCCRP editor Drew Sullivan.","Drew Sullivan","OCCRP","MANAGER"
" Companies belonging to Vladimir Putin’s close friend Sergei Roldugin received nearly $69 million of which at least 11.6 million should have been halted and reported to law enforcement due to their highly suspicious nature, according to the chairman of Lithuania’s central bank.","Sergei Roldugin","Vladimir Putin","ASSOCIATE"
" Orlando Tobon, a Queens, New York resident who makes funeral arrangement for ""unclaimed"" Colombians who have died bringing drugs to the United States, said in 2004 that he deals with up to three or four cases of fatal overdoses per week doing this work.","New York","United States","WITHIN"
"Germany: Airbus To Pay US$ 99 million For Unexplained Payments Prosecutors in Munich closed out the German branch of a multinational probe into corruption at Airbus, ordering the company to pay a settlement of around US$ 99 million, Deutsche Welle reported Friday.","Munich","Germany","WITHIN"
"OCCRP and BIRN Investigation Honored by GIJN Judges A joint OCCRP and BIRN investigation that exposed a EUR 1.2 billion arms pipeline from Central and Eastern Europe to the Middle East was honored on Saturday in Johannesburg, South Africa, by the judges of the Global Shining Light Award.","Johannesburg","South Africa","WITHIN"
"We are proud to be recognized by our peers,” said OCCRP’s co-founder, Drew Sullivan.","Drew Sullivan","OCCRP","MANAGER"
" Ben Cowdock, Investigations Lead at Transparency International UK, explained to OCCRP last month that SLP’s “can be owned or controlled by two offshore companies based in secrecy jurisdictions.”","OCCRP","Transparency International","ASSOCIATE"
"This is a crime and they need to stop it now,” said Drew Sullivan, editor of OCCRP.","Drew Sullivan","OCCRP","MANAGER"
" The next year, Aleksandar Vucic’s Serbian Progressive Party (SNS) came to power, and in 2013, the verdict against Subotic was overturned in favor of a retrial.","Aleksandar Vucic","Serbian Progressive Party","MANAGER"
"It is great that fellow journalists recognize this hard work and it helps us deal with these attacks,” said OCCRP editor Drew Sullivan.","Drew Sullivan","OCCRP","MANAGER"
" Back in Azerbaijan, the brothers built their career in the police forces under the leadership of a third older brother, Maharram Aliyev, a former chief of the Baku police department and currently the ambassador of Azerbaijan in Tajikistan.","Baku","Azerbaijan","WITHIN"
" Ismayilova, a contributor to Radio Free Europe/Radio Liberty (RFE-RL) in Azerbaijan and member of OCCRP, has been held in pretrial detention by Azerbaijani authorities for 234 days on charges described by her and human rights groups as politically motivated.","Ismayilova","OCCRP","EMPLOYEE"
" Ismayilova, a contributor to Radio Free Europe/Radio Liberty (RFE-RL) in Azerbaijan and member of OCCRP, has been held in pretrial detention by Azerbaijani authorities for 234 days on charges described by her and human rights groups as politically motivated.","Ismayilova","Radio Free Europe/Radio Liberty","EMPLOYEE"
" Ismayilova, a contributor to Radio Free Europe/Radio Liberty (RFE-RL) in Azerbaijan and member of OCCRP, has been held in pretrial detention by Azerbaijani authorities for 234 days on charges described by her and human rights groups as politically motivated.","Radio Free Europe/Radio Liberty","OCCRP","BUSINESS"
" During the hearing, Ismayilova said that Azerbaijani President Ilham Aliyev had jailed her to stop her work as a journalist.","Ilham Aliyev","Ismayilova","ANTAGONIST"
" TI also found that the EU’s Transparency Register, a lobbying contacts log operated by the European Commission and European Parliament, fails to provide a safeguard against misconduct since signing up is not compulsory.","European Commission","EU","ASSOCIATE"
" TI analyzed lobbying practices in 19 European countries and the three institutions that make up the EU in Brussels: the European Commission, European Parliament, and the Council of the EU.","European Commission","EU","ASSOCIATE"
